Open,High,Low,Close
90.68,102.620003,89.220001,90.440002
99.300003,105.199997,96.440002,103.860001
111.5,111.839996,96.400002,100.639999
98.739998,105.660004,95.900002,98.440002
104.699997,121.900002,104.120003,120.139999
113.580002,125.779999,110.739998,121.800003
120.559998,123.260002,109.099998,109.68
107.199997,108.660004,91,94.779999
97.660004,109.660004,97.160004,105.580002
103.199997,103.580002,94.459999,97.660004
95.779999,104.379997,95.5,99.440002
102.900002,110.5,96.660004,108.199997
108.519997,108.519997,99,100.139999
96.239998,101.540001,93.540001,98.559998
104.559998,111.059998,90,94.419998
90.139999,92.080002,79.599998,81.199997
80.220001,85,78.82,79.660004
78.019997,82.379997,74.139999,79.860001
76.339996,80.839996,74,79.239998
81.360001,84,74.459999,75.599998
75.839996,75.839996,69.279999,71
64.480003,64.900002,61.16,62.380001
61.759998,66.980003,60.599998,66.760002
64,66.139999,61.5,63.02
63.02,66.739998,62.18,65.419998
62.240002,67.279999,61,64.019997
62.860001,67.419998,62.02,65.559998
66.400002,68.82,66.019997,66.900002
65.199997,65.879997,57,58.759998
59.099998,62.459999,55.16,61.860001
64.300003,68.599998,62.779999,67.139999
67.620003,67.900002,58.040001,60.360001
58.98,60.5,58,58.959999
61.419998,65.540001,60.599998,63.119999
61.459999,65.160004,60.16,63.459999
58.259998,61,57.5,59.639999
59,62.139999,58.900002,61.299999
62.639999,66.260002,61.259998,65.459999
61.080002,63.02,59,61.18
62.860001,65.900002,60.540001,65.300003
67.400002,73.900002,67.400002,73
70.599998,70.800003,60.939999,65.139999
66.400002,67.580002,61.98,64
67.5,69.5,64.639999,66.559998
65.099998,67.639999,63.560001,65.620003
62.799999,68.379997,62.799999,67.040001
66.260002,66.760002,59.040001,59.919998
61.259998,62.299999,59.060001,60.66
64.239998,69.199997,62.540001,68.940002
62.060001,62.400002,57.5,58.119999
61.279999,63.639999,60.299999,62.380001
65.360001,65.959999,63.360001,64.779999
63.540001,66.199997,62.360001,64.120003
63.200001,67.300003,63.119999,66.339996
67.900002,71.940002,67.800003,71.580002
68.360001,68.360001,63,64.519997
67.059998,68.139999,65,66.760002
62.799999,63.5,61.040001,61.880001
61.84,63.540001,60.860001,62.099998
67,70.260002,65.059998,67.839996
68.5,69.620003,66.82,68.480003
71,72.400002,69.779999,71.860001
75.900002,79.760002,72.760002,76.800003
71.599998,72.739998,66.059998,70.419998
70.599998,71.260002,61.080002,62.599998
60.400002,60.400002,53.880001,57.599998
56.299999,60.720001,54.779999,56.919998
55.220001,56.299999,50,50.939999
55.599998,55.779999,49.360001,49.919998
50.580002,51.080002,42.400002,42.799999
44.599998,45.48,41.040001,45.259998
43.52,46.48,41.5,45.619999
44,49.119999,43.919998,47.099998
49.5,50.400002,47.639999,49.34
50.380001,56.360001,50.380001,56
55.34,59.759998,54,59.080002
56.599998,58.880001,55.279999,55.419998
55.240002,58.939999,53.639999,58.700001
59.799999,64.139999,59.639999,63.82
62,64,56.919998,59.52
60.939999,69.540001,60.740002,68.040001
74.360001,79.400002,73.699997,74.68
71.32,85.720001,68.959999,85.660004
93.720001,102,92.860001,96.599998
101.339996,101.919998,83.639999,84.279999
84.720001,88,76.919998,87.739998
106,114.139999,100.32,110.699997
102.580002,123.080002,100.739998,122.919998
106,113.639999,91.279999,91.620003
97.300003,105.599998,96.220001,103.120003
98.720001,126.800003,98.459999,126.120003
120.800003,123,112.360001,114.660004
102.32,114.239998,101,109.519997
116.379997,119.5,109.800003,113.459999
125.68,134,115.139999,120.959999
118.879997,129.419998,118.32,129
120.919998,127.32,113.699997,116.360001
120.959999,131,119.959999,130.399994
133.899994,134.759995,115.800003,116.760002
117.68,127.120003,116.760002,126.120003
126.599998,152.779999,126.599998,150.160004
152.220001,176.199997,145.199997,147.100006
153.160004,171.619995,152.619995,166.380005
173.5,174.460007,142.160004,142.800003
132,145.699997,124.400002,140.800003
147.880005,159.619995,147.460007,157.699997
153.720001,161.339996,141.479996,143.220001
144.820007,147.339996,127.5,128.419998
126.419998,133.639999,116.959999,132.039993
126.300003,166.899994,122.059998,163.419998
173.580002,179.5,150,151.039993
152.279999,166.580002,152.279999,159.820007
158.5,171.160004,154.940002,161.679993
171,173.779999,157.800003,165.199997
146.479996,152.779999,131.660004,132.360001
135.919998,139.619995,129.139999,134.520004
138.779999,139.899994,125.199997,133.279999
137.779999,159.860001,132.639999,158.539993
154.5,161.479996,143.600006,150.580002
159.520004,160.220001,144.179993,147.179993
134.339996,155,132,153.360001
151.339996,151.419998,140.100006,141.460007
152.199997,153.759995,140.800003,152.880005
146.539993,157.220001,146.020004,154.779999
162.660004,169.720001,162,167.080002
167.139999,188.440002,166,186.539993
200.360001,228.600006,198.179993,225.360001
230,238.639999,211.479996,234.100006
225.339996,237.399994,215.440002,218.460007
216.160004,220.720001,187,198.119995
204.839996,226.320007,195.279999,223.080002
233.580002,233.580002,217.020004,226
255.880005,280,252.559998,275.839996
276,295.880005,242,245.679993
278.079987,281.380005,252.779999,265.679993
255,275.160004,231.360001,242.919998
246.940002,256.940002,230.399994,236.199997
243.679993,264,232.619995,262.519989
268.320007,277.940002,246.320007,268.600006
281.359985,309,272.5,304.200012
323.859985,358.119995,322,357.820007
370.079987,370.079987,330,341.720001
347.980011,350.100006,305.100006,311.339996
297.140015,315.23999,251.020004,256.380005
270.119995,288,264,280.359985
301.200012,334.899994,295.940002,325.480011
284,285.859985,252.320007,252.320007
258.820007,283.820007,243.100006,279.959991
304.799988,318.880005,271.679993,308.980011
310.019989,327.799988,290,297.5
296.220001,317.140015,289.26001,303.799988
330,343.880005,315.880005,325.059998
327.179993,367.200012,320.26001,354.839996
329.660004,349.459991,268.440002,269.359985
246.160004,289.980011,234.039993,278.23999
292.019989,293.519989,253.699997,287.859985
265.799988,289.720001,260.040009,272.660004
253.800003,259,210.559998,212.919998
208.5,240,196.720001,236.020004
251.520004,254.380005,224.220001,230.960007
225.279999,227.960007,194.339996,198.240005
196.339996,225.800003,192.119995,215.699997
218.440002,228,199.580002,212.660004
211.100006,222.720001,205.619995,213.419998
257,292.339996,256.23999,292.339996
291.179993,308.579987,273.019989,307.299988
292.880005,310.73999,289.380005,294.799988
334,350,325.119995,334.779999
333.200012,358.660004,325.5,354.76001
362.799988,374.839996,330,335.820007
364,365.279999,321,340.299988
339.339996,342.179993,304,319.959991
317.880005,370.799988,312.799988,361.940002
394.619995,395.200012,316.540009,328.140015
345.619995,351.5,320,342.700012
313,359.660004,308.200012,352.279999
328.76001,338,316.959991,320.059998
320,329.720001,304.079987,327
322.279999,342.440002,319.299988,326.959991
419.359985,424.480011,363.380005,374.600006
376.799988,395.980011,350,376.920013
344,367.540009,344,355.179993
373.779999,399.359985,370.859985,383.660004
389.519989,400,374.839996,398.200012
428.160004,481.980011,427.679993,476.079987
490,527.799988,470,518.5
545.73999,591.320007,540.200012,587.73999
558.840027,560,514,527.23999
530.960022,603.400024,516.76001,601.820007
576.820007,630.080017,570.02002,612.039978
596.02002,615.799988,530.919983,536.059998
567.76001,625.440002,556,607.700012
547.47998,604.559998,543.02002,603.080017
568.299988,600.880005,564,570.559998
